"Symbol","ISIN","Company","First Listing Date","Face Value","Paid Up Value","Market Lot","Industry"
"OCCL","INE321D01016","Oriental Carbon & Chemicals Limited","27-Jan-2016","10","10","1","-"
"NH","INE410P01011","Narayana Hrudayalaya Ltd.","06-Jan-2016","10","10","1","-"
"ALKEM","INE540L01014","Alkem Laboratories Limited","23-Dec-2015","2","2","1","-"
"LALPATHLAB","INE600L01024","Dr. Lal Path Labs Ltd.","23-Dec-2015","10","10","1","-"
"LINCOLN","INE405C01035","Lincoln Pharmaceuticals Limited","17-Dec-2015","10","10","1","-"
"KRIDHANINF","INE524L01026","Kridhan Infra Limited","11-Dec-2015","2","2","1","-"
"PILANIINVS","INE417C01014","Pilani Investment and Industries Corporation Limited","08-Dec-2015","10","10","1","-"
"TTKHLTCARE","INE910C01018","TTK Healthcare Limited","02-Dec-2015","10","10","1","-"
"UMANGDAIRY","INE864B01027","Umang Dairies Limited","02-Dec-2015","5","5","1","-"
"SALZERELEC","INE457F01013","Salzer Electronics Limited","02-Dec-2015","10","10","1","-"
"LUXIND","INE150G01020","Lux Industries Limited","30-Nov-2015","2","2","1","-"
"BALAXI","INE618N01014","Balaxi Ventures Limited","30-Nov-2015","10","10","1","-"
"SHK","INE500L01026","S H Kelkar and Company Limited","16-Nov-2015","10","10","1","-"
"INDIGO","INE646L01027","InterGlobe Aviation Limited","10-Nov-2015","10","10","1","-"
"IDFCFIRSTB","INE092T01019","IDFC First Bank Limited","06-Nov-2015","10","10","1","-"
"PRABHAT","INE302M01033","Prabhat Dairy Limited","21-Sep-2015","10","10","1","-"
"SADBHIN","INE764L01010","Sadbhav Infrastructure Project Limited","16-Sep-2015","10","10","1","-"
"GUJGASLTD","INE844O01030","Gujarat Gas Limited","15-Sep-2015","2","2","1","-"
"SHREEPUSHK","INE712K01011","Shree Pushkar Chemicals & Fertilisers Limited","10-Sep-2015","10","10","1","-"
"NAVKARCORP","INE278M01019","Navkar Corporation Limited","09-Sep-2015","10","10","1","-"
"SHARDAMOTR","INE597I01010","Sharda Motor Industries Limited","03-Sep-2015","10","10","1","-"
"ARVSMART","INE034S01021","Arvind SmartSpaces Limited","26-Aug-2015","10","10","1","-"
"POWERMECH","INE211R01019","Power Mech Projects Limited","26-Aug-2015","10","10","1","-"
"SATIN","INE836B01017","Satin Creditcare Network Limited","26-Aug-2015","10","10","1","-"
"MUTHOOTCAP","INE296G01013","Muthoot Capital Services Limited","24-Aug-2015","10","10","1","-"
"ORTINLABSS","INE749B01012","Ortin Laboratories Limited","21-Aug-2015","10","10","1","-"
"RAMASTEEL","INE230R01027","Rama Steel Tubes Limited","19-Aug-2015","5","5","1","-"
"MAJESCO","INE898S01029","Majesco Limited","19-Aug-2015","5","5","1","-"
"PKTEA","INE431F01018","The Peria Karamalai Tea & Produce Company Limited","19-Aug-2015","10","10","1","-"
